청원인,청원명,청원의 취지,청원의 내용,청원분야,청원결과,청원종료일,청원동의시작일,청원동의종료일,청원 동의수
이**,아주대학교 병원의 부적절한 행태에 대한 정부의 진상조사 및 시정 조치 요구에 관한 청원,아주대학교 병원의 부적절한 행태에 대한 정부의 진상조사 및 시정 조치 요구,"아주대학교 병원의 부적절한 행태에 대한 정부의 진상 조사 및 시정 조치를 요구합니다.

저는 아픈 아버지에게 아주대학교 병원의 진료를 받게 하고 그곳에서 비참한 죽음을 맞게 한 저희 아버지의 장녀입니다.
저희 아버지는 폐암으로 투병을 하다 지난 22년 8월 26일 74세의 나이로 세상을 떠나셨습니다.

저희 아버지는 8월 27일 토요일 퇴원 예정이었던 환자입니다. 그런 아버지가 8월 22일 월요일 보호자의 동의없이 옮겨진 처치실에서 낙상한 이후 식사를 못하시고 컨디션이 급격히 안좋아지시며 8월 26일 금요일 사망하셨습니다. 아버지의 치료를 위해 믿으려하고 믿어야지 했던 아주대학교 병원 모든 의료진에게 다음의 해명을 강력히 요구합니다.

첫째, 환자의 낙상을 보호자에게 알리지 않고 간병인과 함께 묵인한 점, 
둘째, 환자의 손과 발을 결박하며 보호자에게 동의를 구하지 않은 점,
셋째, 환자를 처치실에 격리하여 재우며 보호자에게 동의를 구하지 않은 점, 
넷째, 하반신이 마비된 환자에게 9일 동안 관장을 하지 않은 점, 
다섯째, 보호자 대신 간병인이 상주하던 8월 10일부터 8월 23일, 2주간 보호자가 환자의 상태와 추후 치료계획에 대한 상담을 수차례 요청하였음에도 아무런 연락을 주지 않은 점. 주치의가 전화상담 요청을 전혀 들은 바 없다는 의료 시스템의 문제점.

환자는 골치 아픈 문제 덩어리가 아닙니다. 의료진의 몸과 마음을 힘들게 하는 골칫거리가 아닙니다. 의료진의 치료가 간절한, 의료진 밖에 기댈 곳이 없는, 존중받고 배려받으며 치료받아야 할 소중한 한 생명입니다. 아무리 바쁘고 시간이 없고 힘들어도 의료진은 환자에게 그런 사람이어야합니다. 그 사실을 잊고 의료행위를 하면 안 됩니다. 잊게 되면 다시 기억하세요. 내 가족이라고, 내 자식이고 부모라고 말입니다. 단지 돈을 벌기 위한 목적으로 의료행위를 하고 있다면 당장 그만두세요. 다른 일을 해서 돈을 버십시오.

집에서 자식들 손주들과 함께 마지막 얘기를 나누며 음식을 나누어 드실 수 있었던 저희 아버지,우리 딸이랑 사위는 남에게 싫은 소리 못한다는 저희 어머님의 한을 아버지를 갑자기 잃은 못난 딸이 조금이라도 풀어드리고 싶습니다. 그리고 저와 같은 이유로 소중한 가족을 떠나보내고 가슴 아파할 다른 많은 이들의 한을 풀어드리고 싶습니다.

코로나로 보호자의 출입이 제한된 현재 의료체계에서 보호자가 의료진을 믿고 환자를 맡길 수 있도록,
정부가 아주대학교 병원의 위와 같은 행태를 적극 조사해서 적절한 조치를 취해 주십시오.

(★본문이 길어 일부의 내용만을 등록하였습니다. 첨부 파일을 꼭 읽어봐 주시길 바랍니다.)",보건의료,동의만료폐기,2022-10-06 00:01:00,2022-09-05 17:34:57,2022-10-05 23:59:59,1407
황**,심정지 환자를 경찰관의 무심함으로 골든타임을 놓쳤습니다..에 관한 청원,"심정지 환자 발생시에 구급대원이 도착하기전 경찰관이 현장에 먼저 도착하게 되면,
구급대원이 오기전까지 경찰관이 의무적으로 심폐소생술을 시행하게 하여 심정지 환자의 골든타임을 확보 할수있도록 하면 좋겠습니다..","저희 장인어른이 심정지로 쓰러져서 지나가는 시민들이 장인어른을 발견하여 심폐소생술을 시행하였습니다.
그 후 경찰관이 도착한 후 심폐소생술을 하던 시민분은 경찰에게 맡기고 심폐소생술을 그만두었습니다.
그런데 경찰관은 장인어른의 신원확인 만 하고 약 8분간 계속 방치 하여 심정지 골든타임을 놓치게 되었습니다.
(구급차가 빨리 올수있게 길정리를 한다던지 하는 행위는 아무것도 없었으며 그저 장인어른 옆에 서서 보기만함)
그 후 119에 신고한 사람에게 구급대원이 전화가 와서 경찰관에게 심폐소생술을 요청하자 뒤 늦게 심폐소생술을 진행하였습니다.
구급대원이 도착후 심폐소생술을 이어서 하여 장인어른이 극적으로 살아났지만.. 현재까지 저산소성뇌손상으로 혼수상태로 있습니다.
골든타임만 지켜졌더라면 지금 상황까지는 오지 않았을것 같습니다.
사고 이 후 검색해보니 경찰의 심폐소생술이 의무화가 아니라는것을 알게되었는데..
앞으로 다시는 이런일이 발생하지 않도록 사고현장에 구급대원이 도착하기 전에 경찰이 먼저 도착한다면 기본적 응급처치는 할 수 있도록 교육하여 의무화하면 좋을것 같습니다.


",행정/지방자치,동의만료폐기,2022-10-06 00:01:00,2022-09-05 17:36:13,2022-10-05 23:59:59,757
송**,여성의 유방축소술 건보적용에 관한 청원,"거대유방으로 근골격계통증, 피부관련질환, 성희롱 등과 같은 고통을 겪고 있는 여성들이 많습니다. 그 중 큰 결심을 통해 성형외과 축소술을 문의 하니 미용목적이라 천만원대 수술 비용에 다시 좌절합니다. 남성의 여유증과 같은 질병코드(N62)임에도 남성은 건보적용대상이 되고 보통 2000~3000g을 절제해야하는 여성은 미용이라 하니 납득이 가지 않습니다. "," 어릴때부터 유방이 커서 근골격계통증, 피부질환, 사회적 성희롱 시선으로 오래 고통 받았습니다. 미혼일때는 거대 유방으로 라운드 숄더, 거북목을 운동으로 버텨 냈습니다. 그러나 출산으로 인해 모유 수유를 하면서 가슴이 더 커지고 늘어지니 운동으로는 안되는 상황임을 직감 했습니다. 이렇게 남은 인생 살기는 너무 암담 하여 성형외과에 유방 축소술을 알아보니 위험하기도 하지만 천만원대 수술비가 너무 비싸더라구요. 수술 하신 분들 후기에 2000~3000g 의 양을 절제 했다는 글을 보니 두려움도 있지만 잠자는 시간 빼고 평소 2~3kg을 목과 어깨가 지탱하려면 얼마나 고통 스러웠을지 공감이 되었습니다.  이 고통은 겪어보지 않으면 모릅니다.
  남성의 여유증은 여성의 유방비대와 같은 한국표준질병 분류번호 N62를 사용하지만 남성 여유증은 조건에 따라 건강보험 적용이 가능하다고 합니다. 여성의 유방 비대로 인한 유방축소술에 건강보험 적용을 간곡히 부탁드립니다.",보건의료,동의만료폐기,2022-10-06 00:01:00,2022-09-05 17:35:38,2022-10-05 23:59:59,226
정**,선관위 위원장 대법관 임명 관례 폐지에 관한 청원,선관위 위원장을 대법관이 맡는 현행 관례를 폐지해야 합니다. 그래야 선거정의가 바로 섭니다. ,"선관위 위원장을 대법관이 맡고 지역선관위 위원장을 법원장이 맡고 시군구 선관위원장을 부장판사, 지법원장이 맡는 현행 관례를 폐지해야 합니다. 부정선거 발생 시 법원이 공정한 재판을 할 수 없는 구조입니다. 따라서 정치적 중립인 민간인이 맡고 부정선거, 부실선거, 불법선거 적발 시 바로 법적 책임을 물게 해 선거 정의를 바로 세워야 합니다. ",행정/지방자치,동의만료폐기,2022-10-06 00:01:00,2022-09-05 17:35:25,2022-10-05 23:59:59,1196
김**,어린이집과 유치원에 다니는 아동에게도 양육수당을 차별없이 지원하는 요청에 관한 청원,"2018년 한국경제학회의 '보육료 지원정책이 기혼여성 노동공급에 미치는 영향‘에서  양육수당이 도입되면서 여성 고용률, 총노동은 양육수당을 제공하지 않을때보다 감소하는 것으로 분석되었다고 밝혔습니다,
 이는 기관 이용에 따라 양육수당을 주지 않은 정책은 여성의 경제활동에도 도움을 주지 않을 뿐만 아니라 영유아의 가정보육을 유도하여 부모의 육아 부담을 높여 저출생 문제에도 도움이 되지않기 때문이라고 할 수 있습니다.
"," 우리나라는 아동·육아수당을 '왜' 도입하였을까요? 
2017년 아동·육아수당 수당 도입 전 대선 핵심 어젠다 연속토론회 보고서에 따르면 '아동'에 대한 사회적 책임으로 아동수당을 도입하는 것과 저출생 대응정책으로서 '아동·육아수당'을 도입을 검토하고 설계한다고 하였습니다. 즉 우리나라의 아동수당이 검토되고 있는 주요 배경에는 저출생 극복 해결을 위한 정책적 목적이 있었으며 출산율 증가에 긍정적 기여를 하는 정책 수단일 수 있기 때문이라고 보았기 때문입니다. 그렇다면 우리나라도 처음부터 복지 선진국과 같이 아동 전체에게 일정한 급여를 보편적 복지로서 제공하는 설계를 했다면 결과는 지금보다 저출생 문제에 도움이 되었을 것으로 예측할 수 있습니다. 당시 모든 아동에게 아동·육아수당을 주게 될 경우 많은 예산이 소요된다는 이유로 어린이집과 유치원을 이용하는 영유아들은 아동수당 중 육아수당을 제외시켰습니다. 하지만 보육료는 어린이집과 유치원 기관에 대한 지원으로 보육활동에만 사용하는 것이 아니라 대부분 교직원들의 인건비와 운영비 등으로 사용하고 있으며 보육료 외 특별활동이나 부모 부담 필요경비는 학부모가 전액 납부하고 있습니다. 
따라서 가정보육을 하거나 가정보육을 하면서 어린이집이나 유치원 외 다른 사설 기관을 이용하는 경우에는 양육수당을 지원하고 어린이집과 유치원에 다니는 경우에는 양육수당을 지원하지 않는 것은 기관 이용에 따른 영유아들에게 차별적인 정책이라고 할 수 있습니다. 
이러한 보육정책으로 인해 2018년 한국경제학회의 '보육료 지원정책이 기혼여성 노동공급에 미치는 영향‘에서 보편적 지원정책에 양육수당이 도입되면서 여성 고용률, 총노동은 양육수당을 제공하지 않을 때보다 감소하는 것으로 분석되었다고 밝혔습니다, 
즉 기관 이용에 따라 양육수당을 주지 않은 정책은 여성의 경제활동에도 도움을 주지 않을 뿐만 아니라 아동의 가정보육을 유도하여 부모의 육아 부담을 높여 저출생 문제에도 도움이 되지 않기 때문일 것입니다. 

일본 인구학자인 아토 마코토는 일본 출산 정책을 가리켜 ""저출생을 해결하기에는 예산액이 너무 적었고, 시기도 너무 늦었다""라고 지적한 바 있다. 저출생을 극복한 복지 선진국들이 2017년 GDP에서 육아로 지출하는 비율이 3% 정도인데 비해 일본은 0.6%를 사용하고 있기 때문일 것입니다. 한국은 일본보다도 훨씬 못 미치는 0.1%로 나타나고 있습니다. 

따라서 우리나라의 경우도 더 이상 예산 문제로 중요한 시기를 지체하지 말고 외국의 복지 선진국과 같이 개별 가족의 욕구를 충실히 반영해 모든 영유아에 대한 지원을 위한 육아 복지예산을 대폭 증가시켜야 할 것입니다. 예산 문제로 그간 제외되었던 어린이집, 유치원 이용 아동에 대한 양육수당을 차별 없이 동등하게 지원해주시기를 요청드립니다. 이는 새 정부가 우선적으로 추진하려는 저출생 문제 해결의 가장 시급한 육아정책 과제에 도움이 되기를 바랍니다. 감사합니다. 



",복지/보훈,동의만료폐기,2022-10-03 00:01:00,2022-09-02 18:11:34,2022-10-02 23:59:59,178
황**,출산장려정책에 관한 청원,"출산기피현상이  만연하여, 사회문제 나아가 국가존립의 문제이기에 ,아래와 같은 의견을 올립니다.","2021년도 신생아 출생아는 270,000명으로 ,  OECD 국가중 최하위인데  ,세째 출산율을 눈에 띄지 않습니다.
셋째 출생아를 , 공무원으로 임명하면 ,출산율을 증가 시킬수 있을것 같습니다. 
공무원은 1,260,000명으로, 30년기준으로  1년에 42,000명 임용되고, 42,000명퇴직 하고 있읍니다.",행정/지방자치,동의만료폐기,2022-10-03 00:01:00,2022-09-02 18:11:50,2022-10-02 23:59:59,120
홍**,카카오게임즈의 자회사 라이온하트스튜디오의 분할상장 금지에 관한 청원,국내 유가증권시장에 속한 상장법인들의 무분별하게 남발하는 자회사 분할상장을 카카오게임즈의 자회사 라이온하트스튜디오의 IPO를 막음으로써 종식하고자 함.,"미국증권계에서는 다우 및 나스닥에 이미 상장이 된 회사들의 자회사 분할상장은 경제적으로 해로운 부분이 많아 제도적으로 금지하고 있습니다. 그러나 한국에서는 아직도 일어나기에 이제는 막아야 합니다.

국내 증권계에서 모회사를 대기업으로 둔 회사들은 일반적으로 국내유가시장에 상장을 할 때 대기업 꼬리표로 인해 주가가 고평가받으며 투자가들의 투기가 붙기쉬워, 연100억의 순이익을 올리는 회사가 시장에서 400배의 주가총액인 4조원의 평가를 받는 비이상적인 상황이 벌어지곤 헸습니다. 

예시로 LG에너지솔루션을 분할상장 시킨 LG화학의 사례처럼 일단 분할상장이 된다면 주가가치 희석으로 인한 디스카운트 현상으로 불가피한 주가 하락으로 기존 주주들이 피해를 보며 국내 및 해외 투자자들로 하여금 국내시장에 대한 불신감을 불러 일으키게 됩니다. 

더이상의 분할상장을 막지 않는다면, 증권계에만 부작용을 불러 일으키게 되는것 뿐만 아니라 회사들로 하여금 꾸준하게 안정적인 매출을 올리는 것보다는 상장을 통해 한번에 일확천금을 노리게하는 행위를 부추길 뿐이며, 결국 회사본연의 목적을 망각하게 합니다. 상장만하면 매출의 수십, 수백배를 벌어들이는데 굳이 다른쪽에 집중할 필요가 없어지겠죠.

 만약 회사들이 서비스정신, 제품품질 및 고용안정을 버려두고 IPO에만 매달리게 된다면 이 사회가 정상적으로 갈 수 있을까요? 

게다가 카카오는 이미 카카오모빌리티, 자회사 문어발식 확장으로 내수시장에 손을 안대는 부분이 없어 사회적인 갈등을 불러일으킨 전적이 있습니다.

한국 증권계 및 사회를 위해서라도 ""상장법인의 분할상장"" 이제는 제동을 걸어야 할 때라고 생각합니다.",재정/세제/금융/예산,동의만료폐기,2022-10-03 00:01:00,2022-09-02 18:12:08,2022-10-02 23:59:59,13377
황**,"이 나라 직업 훈련은 대기업만을 위한 것인가 4,200개 민간 직업훈련기관 지원 요청에 관한 청원","국민 다수와 중소기업, 훈련기관을 고려한 예산 편성과 집행 촉구.
도산 위기에 처한 직업훈련 시장의 지원책 마련 요청.","지난 24일, '2023년도 예산안 관련 당정협의회'가 있었습니다. 

'청년 지원 확대' 부분이 중요 협의 사항이었는데 크게 두 가지 방향으로 논의 되었습니다.

  첫째, 구직단념 청년 도약준비금 300만원 지원
  둘째, 대기업 취업 프로그램 예산 대폭 확대

청년층을 위한 지원 확대는 우리 미래를 위한 투자로 반드시 시행되어야 하는 부분입니다.
그러나 이러한 투자가 청년층 전체가 아니라 '대기업 취업 프로그램'을 위한 지원으로 국한되어서는 안될 것입니다.

한국의 중소기업은 전체 기업의 99.9%이고 전체 고용의 80% 이상을 차지하고 있습니다.
 '대기업 취업을 위한 예산 편성 확대'는 0.1% 특정 기업, 특정층 만을 위한 예산입니다.

저는 20여년간 청년 취업을 위한 직업훈련 시장에 몸담고 있습니다.
저뿐만 아니라 전국 민간 직업훈련기관들은 그 동안 청년 취업을 위해 꾸준히 노력하여 취업률 향상에 기여 해왔습니다.

최근 정부 지원으로 대기업에서 취업 프로그램을 운영하고 있으나
민간 직업훈련기관 보다 300% 많은 지원(대기업 인당 훈련비 2,900만원 / 직훈 IT 국기 인당 약 700만원)을 받았음에도 취업률은 약 79%로 민간 직업훈련기관 취업률(IT직종 취업률 약 80%)과 비교하였을 때 투자 대비 그 성과 차이가 거의 없습니다.

그럼에도 대기업 취업 프로그램을 위한 예산은 계속 확대되어 가고, 직업훈련 기관은 상대적으로 지원에서 밀려나고 있습니다.

전국 4,200개 민간 훈련기관은 도산 위기에 놓이고, 이로 인해 민간 훈련기관 종사자 8만여명은 실직 위기에 처해있습니다. 어떤 훈련기관 대표는 극단적인 선택(자살)을 하기도 했습니다. 

국가의 예산은 국민 다수를 위해 쓰여야지 일부 대기업에 편중되어서는 안됩니다.

99.9%의 중소기업과 대다수의 청년을 위한 차별 없는 예산 지원과
취업률 성과를 냈음에도 불구하고 도산 위기에 놓인 전국 민간 훈련기관들에게도
대기업과 동일한 지원책을 마련해 주시길 바랍니다.

관련 기사 : https://www.yna.co.kr/view/AKR20220824040000001?input=1195m",인권/성평등/노동,동의만료폐기,2022-09-30 00:01:00,2022-08-30 09:19:19,2022-09-29 23:59:59,177
정**,제발 제 조카를 성폭력 가해학생과 한 교실에 두지 말아 주세요 성폭력 가해학생의 교실분리 또는 전학 조치 의무화에 관한 청원,"[학교폭력예방 및 대책에 관련 법률] 조치사항에서 가해자와 피해자의 분리 조치는 선택 또는 요청 항목이 아닌, 학교에서 이행해야 할 의무항목이 되어야 합니다. 의무 항목이 아니고 가해학생의 교실 분리 또는 전학이 조치 항목이 아닐 경우 학교측은 가해자와 피해자를 한 교실에 방치 하기 때문 입니다. 

또한 [학교폭력예방 및 대책에 관련 법률]의 조치사항들은 '학교측에 요청' 또는 '이행에 협조' 등의 식으로 통보에서 그치고 있어, 학교측에서 적극적인 조치를 취하지 않을 경우 제 2차 피해를 야기 시킬 수 밖에 없습니다. ","발달장애를 가지고 있는 조카가 어느새 6학년이 되었습니다.
장애가 있음에도 불구하고 나름 학교생활을 잘 해 나가고 있는 게 기특했고 감사했습니다.
하지만 얼마 전부터 조카는 등교를 거부했고 그 이유가 같은 반 학생에게 지속적으로 성폭력을 당해 왔기 때문이라는 사실을 알게 되었습니다.

힘들고 긴 학교폭력위원회의 끝은 가해 학생의 '사회봉사 5시간'과 '신고(다른 학생들의 신고 사례 또한 있었습니다.) 및 고발 학생에 대한 접촉, 협박, 보복행위 금지' 처분이었습니다.
하지만 교실 분리 또는 전학에 대한 조치 없이 같은 교실 내에 있으면서 접촉 금지가 가능할 리 없습니다.
저희 가족은 전학까지는 아니더라도 교실 분리 만이라도 학교 측에 요청했지만 학교 측에서는 학교폭력위원회의 처분 결과에 해당 조치사항이 없기 때문에 이를 받아들여 주지 않고 있습니다.

이에, [학교폭력예방 및 대책에 관련 법률] 조치사항에서 가해자와 피해자의 분리 조치는 선택 또는 요청 항목이 아닌, 학교에서 이행해야 할 의무항목이 되도록 그리고 학교 측은 학교폭력위원회의 처분 결과에 상관없이 피해자에 대한 적극적인 보호를 취해주길 바라는 바입니다.

지금 이 글은 쓰는 중에도 손이 너무 떨립니다. 그래서 온 마음을 다 담지 못해 두서없이 써 내려진 것 같습니다.
읽어만 주셔도 감사를 드리며 청원에 동의까지 해 주신다면 정말 감사하겠습니다.

더 이상 성폭력 피해자들이 2차 피해 상황에 방치되지 않도록 도와주세요.",교육,동의만료폐기,2022-09-30 00:01:00,2022-08-30 09:17:59,2022-09-29 23:59:59,2149
이**,신규 석탄발전소 철회를 위한 탈석탄법 제정에 관한 청원,기후위기 대응에 역행하는 석탄발전소 건설 사업의 취소를 위한 법제화 요구,"올 여름 전국을 침수시킨 집중호우의 또 다른 이름은 ‘기후위기’입니다. 턱 밑까지 차오른 기후위기를 더 이상 외면할 수도 방치할 수도 없습니다.

기후위기 대응을 위해서 비상한 대책이 필요합니다. 온실가스 배출 주범인 석탄발전을 조속히 폐지해 나가야 한다는 사회적 요구가 그것입니다.

지구온난화 1.5℃ 방지 목표 달성을 위해서 국제사회와 과학계는 한국을 비롯한 주요국에서 석탄발전을 늦어도 2030년까지 폐지해야 한다고 제시하고 있습니다.

그럼에도 국내 석탄발전소 건설 사업은 여전히 진행 중입니다. 민간 발전사업자인 포스코가 강원도 삼척에서 2024년 준공을 목표로 2기의 신규 석탄발전소를 건설 중입니다.

석탄발전소 건설로 인해 삼척 맹방해변과 천연동굴과 같은 생태계가 침식되고 있으며, 석탄발전소가 가동된다면 미세먼지 오염물질 배출로 인한 조기사망을 일으키고 기후위기를 더욱 악화시킬 것으로 우려됩니다.

포스코는 온실가스 배출1위 기업입니다. 그럼에도 자회사를 통해 석탄발전소를 추가 건설하는 계획은 정의롭지 못합니다. 이는 기후위기를 가속화할 뿐만 아니라, 에너지 공공성을 위협하는 것이기도 합니다.

석탄발전을 꺼야 할 시점에 오히려 새로 짓는 건 대체 누구를 위한 사업입니까. 기후 환경을 보호하고 공공의 이익을 우선한다면 석탄발전소 건설을 지금이라도 멈추고 취소해야 합니다. 민간 사업자의 이익만을 고려해 공익 침해를 방치해서는 안 됩니다.

정부는 석탄발전 폐지에 원론적으로 동의하면서도, 이미 인허가한 사업을 임의로 취소할 법적 근거가 없다며 사태를 방관하는 입장입니다.

기후위기는 나날이 심각해지고 시간은 속절없이 흐르는 상황에서 신규 석탄발전 사업을 취소하기 위한 입법이 반드시 필요합니다.

국회가 당장 나서야 합니다. 국회는 석탄발전 사업 허가를 취소하고 에너지 전환을 촉진하기 위한 탈석탄법 제정을 통해 기후위기 대응 의지를 증명해주기 바랍니다.

국회는 2019년 ‘기후위기 비상 대응 촉구 결의안’을 채택했으며, 2021년 8월 ‘탄소중립기본법’을 통과시킨 바 있습니다.

다시 국회가 움직일 차례입니다. 탈석탄법 제정을 통해 기후위기를 돌파할 의미있는 변화를 만들어주기를 호소합니다.",산업/통상,위원회심사,2022-09-29 21:26:31,2022-08-31 09:07:10,2022-09-29 21:26:31,50000
유**,대화 녹음 금지법 반대에 관한 청원,대화 녹음 금지법으로 생길 수 있는 피해를 방지하기 위함.,"대화 녹음 금지로 인해서 자신의 억울함을 그나마 해소를 한 피해자가 있습니다. 그런데 그럼에도 불구하고 이러한 법을 발의 했다는 것은 그러한 피해자를 지지하지 않고, 기분이 나쁘다는 이유 또는 그 외 다른 이유들로 인해서 피해자들의 마음은 뒤로 하는 이러한 법은 통과 되어선 안 된다고 생각합니다.",수사/법무/사법제도,동의만료폐기,2022-09-24 00:01:00,2022-08-24 16:32:20,2022-09-23 23:59:59,4075
양**,경기도 광주시 직동 대광아스콘의 아스콘 공장 22.8.12일 허가의 승인 철회를 촉구합니다에 관한 청원,경기도 광주시 직동 ○○○-○○번지 대광아스콘의 아스콘 공장 (22.8.12일 허가)의 승인 철회를 촉구합니다,"경기도 광주시 직동 ○○○-○○번지 대광아스콘의 아스콘 공장 ( 22.8.12일 허가)의 승인 철회를 촉구합니다

(1)주택단지 밀접 지역에 유해공장 설치로 인한 피해
인근 태전지구, 삼동,직동,중대동,목동은 광주시 중에서도 대규모로 주거 밀집지역입니다.
주거지역인근에 해당 공장을 건설하게 된다면 아스콘 생산할 때 발생하는 분진 및 악취/ 교통안전등에 큰 피해를 입을것이 불보듯 뻔히 보이는 해당 공장의 허가를 철회해주세요!

(2)교통난 및 교통사고 위험
아스콘 회사의 덤프트럭 대형 차량이 태전지구, 삼동,직동,중대동,목동 주민들이 이용하는 고불로를 그대로 이용 한다고 합니다.
지금도 상습정체로 도로 확충히 시급한 광주시인데, 광주 초입부터 더 많은 대형차량이 유입되어 출퇴근 정체가 악화될것이고
그외 소음,먼지로 후에 주변 학교를 다닐 학생들의 열악한 통학 여건이 더욱 위협받게됩니다.
많은 주민들이 필요성을 여러번 강조한 이지역의 초등학교 추진, 주변 교육 환경 개선은 매우 더딘 상황에도 불구하고 공장 허가는 신속한 광주시에 답답함을 느낍니다.

(3)환경오염
최근에 초월읍 신월리 중금속 폐수 무단 방류로 인근 천이 회색으로 오염되고 악취로 주민들이 피해를 입었습니다.
이번에 들어설 레미콘 공장도 폐수를 위탁업체에 맡긴다고 하니 정화과정을 제대로 거치지않은 폐수를 충분히 몰래 버릴수 있는 여지가 다분합니다.
타지역도 아스콘 공장으로 인한 인근지역 환경오염 등의 사례가 발생하는 것으로 알고 있습니다.


(4)타 지역 사례
대구 수성구에서도 아스콘 공장을 설치 한 이후 인근 주거밀집지역에서 오랜동안 크고작은 문제들이 발생하였으나, 한번 건설된 공장을 쉽게 이전할 수 없어 무려 40년동안 고통을 받다가 40년이 지난 지금에서야 겨우 공장 이전을 추진화하고있습니다
이런 사례를 쉽게 찾아볼 수 있는데 광주시는 어떻게 아스콘 공장을 해당위치에 승인을 하였는지 이해가 되지 않습니다.
광주시는 광주시민들의 건강증진과 안전한 주거지역을 보전할 수 있도록 힘써주시기 바랍니다
광주시는 남한강보호지역아닙니까?
위와 같은 사안등으로 광주시민들은 벌써부터 걱정이 많습니다.
광주시는 위와 같은 문제점들을 고려하였다면 허가를 승인할 이유가 없다고 생각되는데, 아스콘공장 허가승인이라니 매우 의아합니다
불보듯 뻔하게 주민피해가 예상되는 시설을 입주민 의견 수렴 청취도 없이 허가를 해준 광주시에 분개하는 바이며 해당 공장의 건설허가 철회를 강력히 촉구합니다.",국토/해양/교통,동의만료폐기,2022-09-24 00:01:00,2022-08-24 16:31:50,2022-09-23 23:59:59,5952
배**,해외 대한민국 공관에서 발생한 성범죄에 대한 부당한 처벌에 관한 청원,"대한민국 공관에서 발생하는 성범죄에 대한 애매하고 부당한 처벌 규정, 그리고 복잡한 처리 절차를 시정해주시기를 바랍니다. 그리고 가해자가 엄중히 처벌을 받을 수 있도록 현재 내려진 처벌을 재고하고 재 처벌을 해주시기를 바랍니다. ","저는 주 네덜란드 대한민국 대사관에서 근무 중인 공관 조리사입니다. 저는 같은 공관에서 근무하는 인도 국적의 운전원에게 '강제 성추행'을 당했습니다. 사건 발생 전에도 수차례 성희롱을 당했습니다. 직후 바로 대사관, 그리고 외교부 본부에 신고했으나, 저는 두 달이 넘게 지나 결과를 통보 받았습니다.

하지만 오랜 시간 기다렸던 결과는 고작 '정직 2개월' 이었습니다. 통지 받은 당일에 상관 분들께 이의를 제기했으나, 해고는 '전례가 없어서' 정직 처분 내에서 수위가 결정이 났고, 공식적인 절차를 거쳐 다수결로 결정된 처분이라 '어쩔 수 없'다는 것을 강조하셨습니다. 사건 조사 때, 진행 사항을 자세하게 안내 받길 원한다고 분명하게 말씀을 드렸습니다. 그럼에도 불구하고, 한 달이라는 시간이 더 소요가 되는 동안 내부 절차가 자세히 언제, 어떻게 진행되고 있는지 알 수 없었습니다. 돌아온 답은 코로나 상황 내에서 '불가피하게' 시간이 지체 되었다는 말밖에 들을 수 없었습니다.

결과 자체도, 절차 자체에도 저는 여전히 불만과 이의가 있습니다. 피해자로서 단순히 억울하거나 화가 나는 정도를 넘어섰습니다. 징계 결과를 통지해주었다고 해서, 당사자, 그것도 피해자에게 아무런 동의나 의견도 구하지 않고 그냥 정직과 복직을 시키는 절차는 과연 옳은 방식입니까? 대한민국 대사관에서, 같은 직원이며 자국민인 피해자를 보호하거나 변호하지 않고, 외려 외국인인 가해자를 두둔하고 보호하는 형국과, 계속해서 잠재적인 성 범죄자인 가해자를 정직 2개월 뒤 계속해서 근무 시키려는 대처 방식을 저는 도무지 이해도 납득도 할 수 없습니다. 

외교부 국민 신문고에 민원을 넣었으나 동일한 답변밖에 듣지 못했고, 그 답변 자체도 본 대사관에서 주신 내용이기에 저를 더 억울하게 만들었습니다. 저는 마지막 방법으로 한국 언론에 제보를 했고, TV 뉴스, 기사로 보도가 되었으나 아직 아무런 입장 표명도 듣지 못했습니다. 사건 후로 몇 달 동안 힘겨운 시간을 외국에서 홀로 견디다 이제는 다음 달, 가해자로 정상적 복직 예정으로 인해 사직을 결심했습니다. 하지만 여전히 억울하고 부당한 처사라는 것은 변함이 없습니다.


1. 정직 2개월 처분에 그친 가해자에 대한 재 처벌을 원합니다.
2. 첨부 파일에서 확인하실 수 있듯이, 성범죄라는 심각한 사건임에도 불구하고 '비위의 정도', '고의성의 유무' 같은 애매모호한 기준으로 징계 수위를 나누는 외교부 내부 규정은 무조건적으로 바뀌어야 합니다. 
3. 징계 결과를 사건 발생 2개월이 훌쩍 넘은 시점에야 통보 받을 수 있었던 외교부의 안일한 대처 방식은 굉장히 잘못 되었습니다. 그 2개월 동안 가해자를 계속해서 직장에서 마주쳐야 했고, 정신적 피해와 고통을 받아야 했습니다. 
4. 공론화가 되고 있는 과정에서도 아무 입장 표명을 않고 있는 외교부와 본 대사관의 처사는 분명 문제가 있습니다. 언론 등 외부에서 문의가 들어와도 “절차에 따라 처리했다”는 원론적인 답변만 내놓고 있습니다. 하루빨리 공식적으로 입장 표명을 해 주시길 바랍니다.
 

마지막으로 언론 보도된 기사 링크입니다.
http://news.tvchosun.com/site/data/html_dir/2022/08/17/2022081790221.html
https://www.joongang.co.kr/article/25095056
https://news.jtbc.co.kr/article/article.aspx?news_id=NB12071844
",외교/통일/국방/안보,동의만료폐기,2022-09-24 00:01:00,2022-08-24 16:32:05,2022-09-23 23:59:59,757
